BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
MITSUBISHI,DELICA,2000年,18.2萬公里,嘉義縣/順久汽車,1,1,13.8萬
MITSUBISHI,GRUNDER,2005年,16.2萬公里,彰化縣/竣富汽車,1,1,14.8萬
NISSAN,X-TRAIL,2005年,24.9萬公里,桃園市/正達汽車,1,1,13.8萬
MAZDA,TRIBUTE,2002年,14.2萬公里,嘉義縣/順久汽車,1,1,10.5萬
NISSAN,CEFIRO,2002年,10.4萬公里,新竹縣/光華汽車,1,1,8.8萬
MITSUBISHI,GRUNDER,2006年,13萬公里,台北市/佳士得汽車,1,1,12.8萬
HYUNDAI,GETZ,2006年,15.3萬公里,嘉義縣/順久汽車,1,1,13.8萬
SUZUKI,SOLIO,2004年,13.3萬公里,彰化縣/竣富汽車,1,1,14.5萬
VOLKSWAGEN,LUPO,2001年,11.2萬公里,台中市/上嘉汽車,1,1,10.0萬
SUZUKI,SOLIO,2004年,15.1萬公里,台南市/立德汽車,1,1,9.0萬
SUZUKI,SOLIO,2004年,10萬公里,桃園市/忠泰汽車,1,1,13.8萬
FORD,ESCAPE,2003年,15.8萬公里,新北市/誠德汽車,1,1,12.8萬
TOYOTA,PREMIO,2001年,256.6萬公里,桃園市/維京汽車,1,1,10.0萬
MAZDA,MPV,2000年,22萬公里,桃園市/維京汽車,1,1,6.8萬
KIA,EURO,2005年,16.3萬公里,桃園市/維京汽車,1,1,12.8萬
FORMOSA,MATIZ,2006年,78萬公里,台北市/佳士得汽車,1,1,7.8萬
NISSAN,MARCH,2003年,11.2萬公里,新竹縣/光華汽車,1,1,11.8萬
NISSAN,X-TRAIL,2004年,18.3萬公里,宜蘭縣/展宇汽車,1,1,13.8萬
NISSAN,TEANA,2004年,15萬公里,高雄市/佳裕汽車,1,1,12.8萬
FORD,TIERRA,2004年,22.2萬公里,嘉義市/宇勝汽車,1,1,12.8萬
FORMOSA,MATIZ,2003年,9.2萬公里,高雄市/辰泰汽車,1,1,5.8萬
TOYOTA,CAMRY,2004年,29.7萬公里,彰化縣/福大汽車,1,1,14.5萬
NISSAN,TEANA,2005年,9.1萬公里,桃園市/尚恩汽車,1,1,13.8萬
FORD,TIERRA,2003年,20.9萬公里,桃園市/明士汽車,1,1,10.8萬
NISSAN,SENTRA,2005年,14萬公里,雲林縣/宜利汽車商行,1,1,12.8萬
MITSUBISHI,GALANT,2001年,14.8萬公里,高雄市/鴻成中古汽車,1,1,3.8萬
